POPDB_ID,Status,POP Name,Address,Last Visit,Longitude,Latitude,POP Code,Contacts,Country,Channel,Retail Environment (PS),Sales Group Name,Customer,Sales Group Code,Customer Grade,External Store Code,Comments,Territory/Region
228EF0C335AC24B8E6BA34243FB1BDD9,1,화곡명문약국(JDT) 66520,서울시,2022-07-01,0,0,PHAR1267,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66520,상업적,
0CFB571D1A62B4059B7A2351FA027018,1,신도시약국(JDT) 66521,부산시,2022-06-20,0,0,PHAR1268,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66521,학술적,
626F09AF61593D9F6376E2D781C0B31E,1,산본온누리약국(JDT) 66523,경기도,2022-07-13,0,0,PHAR1269,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66523,상업적,
53F7893DA9BC213A39B0D2F87C3A21B4,1,비타민약국(JDT)-인천 66526,인천시,2022-07-12,0,0,PHAR1270,,Korea,OTC,Pharmacy,OTC약국,소아과,K56,2,66526,상업적,
DE85CF39E872C586439201557A1F8F41,1,철산한마음약국(JDT) 66527,경기도,2022-06-28,0,0,PHAR1271,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66527,상업적,
A9528E4D2FEDD5D922073CDF4E872B8D,1,한솔약국(JDT)-구미 66531,경상북도,2022-07-20,0,0,PHAR1272,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66531,상업적,
8AA39D9CA661A18566EFA4C72B2D27BE,1,삼환약국(JDT) 66536,경기도,2022-07-22,0,0,PHAR1273,,Korea,OTC,Pharmacy,처방약국,비소아과,K56,2,66536,학술적,
6D03C5343E0D7D959647A95CB092C510,1,청우약국(JDT) 66537,경기도,2022-07-15,0,0,PHAR1274,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66537,상업적,
5A3EF21E38F3D4DF2AA4F00CBC07C168,1,선약국(JDT)-수원 66542,경기도,2022-07-01,0,0,PHAR1275,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66542,상업적,
BBA2E822B82A7D8546365482D2903058,1,유니팜서울약국(JDT) 66544,서울시,2022-07-12,0,0,PHAR1276,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66544,학술적,
161DA342FFEF1F8D8686DE9FC8816A38,1,푸른태평양약국(JDT) 66547,대전시,2022-07-22,0,0,PHAR1277,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66547,복합적,
8007E6635593933B400CC23C9704AC74,1,신유약국(JDT) 66548,대전시,2022-07-15,0,0,PHAR1278,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66548,상업적,
1C8D2C81FD9EF2985B2B8A91B7ADD89E,1,인정온누리약국(JDT) 66552,서울시,2022-07-25,0,0,PHAR1279,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66552,복합적,
F602F9C71393E362C7C6D9290D7D1688,1,옵티마세란약국(JDT) 66553,서울시,2022-05-27,0,0,PHAR1280,,Korea,OTC,Pharmacy,OTC약국,비소아과,K56,2,66553,복합적,
